2018/06/05 18:52:44 [error] 2465#0: *162019 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *162018 writev() failed (32: Broken pipe) while sending request to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161837 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161834 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *162009 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *162008 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161916 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161843 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161879 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161876 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161874 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161853 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161848 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:44 [error] 2465#0: *161889 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161893 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161879 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161876 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162233 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162214 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162213 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162211 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162177 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162009 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161257 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161022 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *162263 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161365 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:45 [error] 2465#0: *161367 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:46 [error] 2465#0: *162233 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:46 [error] 2465#0: *162177 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:46 [error] 2465#0: *161900 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:46 [error] 2465#0: *161896 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:46 [error] 2465#0: *161894 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
